bookEdition,description,id,GoodReadAverageRating,Language,NumberofRatings,author,numberofpages,title,bookformat
Abridged audio edition,"James Bond travels to the Caribbean to investigate the mysterious disappearance of a secret service team. As he uncovers the astonishing truth about strange energy waves that are interfering with U.S. missile launches, he must battle deadly assassins, sexy femmes fatales, and even a poisonous tarantula. The search takes him to an exotic tropical island, where he meets a beautiful nature girl and discovers the hideout of Doctor No, a six-foot-six madman with a mania for torture, a lust to kill, and a fantastic secret to hide.",944272,3.76,English,13578,Ian Fleming,0 pages,Dr. No,Audio CD
Heinle Reading Library Illustrated Classics Collection,Jules Gabriel Verne was a French author who pioneered the genre of science-fiction. He is best known for his novels ,1086172,3.84,English,112068,Jules Verne,239 pages,Voyage au centre de la Terre,Paperback
UK,"Washed up, alive, on an English beach, their survival",14837,3.71,English,43246,Salman Rushdie,547 pages,The Satanic Verses,Paperback
LIteraria,"La revolución de mayo de 1968 a triunfado, y Francia es distinta de la que hoy conocemos... Exiliados españoles que siguen esperando la desaparición de Franco han establecido comunas libres en París, una de ellas encabezada por un viejo militante de la CNT: el personaje central de esta novela, la primera obra totalmente de ficción que escribe Semprún desde ",69862,4.56,Spanish,9,Jorge Semprún,380 pages,L'Algarabie,Paperback
Large Print,"Nineteen-year-old Annabelle Worthington was born into a life of privilege, raised amid the glamour of New York society, with glorious homes on Fifth Ave",2926033,3.87,English,5318,Danielle Steel,432 pages,A Good Woman,Paperback - Large Print
Unabridged,"The unlikely heroine of this Lisa Scottoline thriller (which follows 2006's Dirty Blonde), mousy University of Pennsylvania assistant law professor Natalie ""Nat"" Greco, finds herself in way over her head when an unintended visit to a minimum-security prison in nearby Chester County puts her in the middle of a deadly uprising -- and places her at the center of an elaborate plot that involves an incarcerated crime boss and more than a few improbable conspirators.",1492580,3.71,English,7616,Lisa Scottoline,8 pages,Daddy's Girl,Audio CD
Fischer Taschenbuch,"Dieses Buch, so schrieb Foucault im Nachwort, ist ein Versuch, in dem so verworenen, so wenig und so schlecht strukturierten Bereich der Ideengeschichte zu einer Methode zu gelangen. Diese Methode, die Foucault als eine Archäologie der Humanwissenschaften begriff, operiert hier auf scheinbar schmaler historischer Basis: die Geschichte der Medizin an der Wende vom 18. zum 19. Jahrhundert. Es ist dies nicht nur die Epoche der Aufklärung und der Französischen Revolution, sondern auch eines dramatischen Wandels des menschlichen Selbstbildes, der zuallererst in der Medizin zu greifbaren Konsequenzen führt. Die Neuorganisation des Spitalwesens, die Entstehung der modernen Klinik und ihre Abkoppelung von den ärztlichen Praxen, die systematische Untersuchung von Leichnamen und die daraus resultierende pathologische Anatomie, die Entschleierung des Körperinnenraums und die neuen ärztlichen Fachsprachen - all dies entziffert Foucault als Anzeichen eines grundlegend neuen, rationalen Umgangs mit Krankheit und Tod. Die Krankheit ist nicht mehr das Unheil schlechthin, sondern ein endliches, körperliches Netz von Symptomen, das der ärztliche Blick leidenschaftslos freilegt. Der Tod ist nicht mehr metaphysischer Abgrund, sondern eine dem Körper inhärente Möglichkeit. Indem so die Medizin dem Menschen einen Spiegel radikaler Endlichkeit andauernd vorhält, rückt sie an einen zentralen Ort im System der Humanwissenschaften.",2990010,3.96,German,1499,Michel Foucault,224 pages,Naissance de la clinique,Paperback
Second Edition,"A panel of internationally recognized eating disorder experts has expanded and fully updated this widely acclaimed book to reflect recent scientific and therapeutic developments. Stressing human physiology, treatment, and disease prevention, the authors take advantage of the new molecular understanding of the biological regulation of energy. Updated chapters review specific evidence-based and future treatment modalities, present an objective evaluation of the treatment, and identify the positives and negatives that have been seen during clinical studies, as well as cumulative data derived from clinical practice. New chapters include material on the use of the internet in the education and treatment of eating disorders and obesity, and on the role of appetite and satiety in obesity treatment, particularly with regard to the carbohydrate diet.",2095852,0.0,English,0,David J. Goldstein,426 pages,The Management of Eating Disorders and Obesity,Hardcover
3rd Edition,"The Dirty Pair face their greatest challenge yet when Kei confronts the awesome horror of...her employee evaluation! It looks simple: simulations are generated by the Central Computer to test her responses, but when a mysterious malfunction traps Kei in virtual reality, Yuri must enter the sim to save her from a series of increasingly night-marish scenarios. From outer space to the ocean depths to the infinity of cyberspace, can Kei and Yuri survive the simulated -- but still lethal -- terrors of the apocalyptic Nanoclysm?",1122077,3.87,English,82,Adam Warren,104 pages,Dirty Pair: Sim Hell 3rd Edition (Dirty Pair),Paperback
Collección Andanzas,"Historia de una gaviota y del gato que le enseno a volar: Luis Sepulveda prometio a sus hijos escribir una historia sobre la forma como los humanos lesionamos la naturaleza y a nosotros mismos. Asi nacio esta historia, que cuenta las aventuras de Zorbas, un gato ""grande, negro y gordo,"" que recibe en custodia el huevo de una moribunda madre gaviota atrapada por una ola de petroleo. Zorbas, que es gato de palabra, cumplira sus dos promesas: no solo criara al polluelo, sino que le ensenara a volar. Los amigos de Zorbas, Secretario, Sabelotodo, Barlovento y Colonello, le ayudaran en esa tarea que no es tan facil como parece, menos para una banda de gatos mas acostumbrada a hacer frente a la dura vida en el puerto de Hamburgo que a ejercer de padres de una cria de gaviota.",44016,4.09,Spanish,9775,Luis Sepúlveda,138 pages,Historia de una gaviota y del gato que le enseñó a volar,Paperback
Unabridged,"Fortunately, his attempt is not successful - but this is only the beginning. Someone is recruiting a shadowy network of agents with the intention of cr",2051065,3.84,English,2497,Jack Higgins,0 pages,Dark Justice,Audio CD
Grandi Classici BUR,"Il giovane Candido viaggia per il mondo, dall’America latina a Parigi a Costantinopoli, per ritrovare la donna amata. Attraversa terre ignote, incontra popoli sconosciuti, impara a conoscere l’animo umano come nessun precettore era stato in grado di insegnargli. Alla fine di questo lungo peregrinare, sceglierà di vivere in una fattoria, dedicandosi al suo lavoro, lontano dalle ambizioni del mondo. È un esilarante racconto di formazione, il capolavoro di Voltaire: l’Illuminismo più affilato e irriverente corre con leggerezza sulle pagine, fino a farci ridere, con la sua gaiezza infernale, delle miserie umane come di ogni filosofia e a farci scoprire l’esistenza di uno spazio di sopravvivenza per la fragilità e l’innocenza umane tra i mali e gli orrori del mondo.",25003015,3.76,Italian,172895,Voltaire,192 pages,Candide,ebook
Oxford World's Classics,"Tolstoy's epic masterpiece intertwines the lives of private and public individuals during the time of the Napoleonic wars and the French invasion of Russia. The fortunes of the Rostovs and the Bolkonskys, of Pierre, Natasha, and Andrei, are intimately connected with the national history that is played out in parallel with their lives. Balls and soirees alternate with councils of war and the machinations of statesmen and generals, scenes of violent battles with everyday human passions in a work whose extraordinary imaginative power has never been surpassed. ",2674739,4.11,English,195036,Leo Tolstoy,1392 pages,Война и миръ,Paperback
Second Edition,"The second edition of this lively and comprehensive book provides a forceful reassessment of the role of the Vikings in history. Drawing on archaeological, literary, as well as historical evidence, the author describes the Viking expeditions overseas, and their transformation from terrifying raiders to assimilated settlers whose rich culture played an influential role in European civilization.",1698999,3.4,English,48,F. Donald Logan,224 pages,The Vikings in History,Paperback
Fourth Edition,"The most successful college rhetoric published in over a decade, The Allyn & Bacon Guide to Writing offers the most progressive and teachable introduction now available to academic and personal writing. The four-color guide offers engaging instruction in rhetoric and composition, a flexible sequence of comprehensive writing assignments, numerous examples of student and professional writing, and thorough guides to research and editing. Solidly grounded in current theory and research, yet eminently practical and teachable, The Allyn & Bacon Guide to Writing has set the new standard for first-year composition courses in writing, reading, critical thinking, and inquiry.",246528,3.33,English,57,John D. Ramage,896 pages,The Allyn & Bacon Guide to Writing,Hardcover
"Harlequin Presents, No 1637","I've been a writer, one way or another, all my life. Before I could read, I made up poems and my mom wrote them down for me. In elementary school, my teachers almost always let me write poems or stories instead of requiring me to do art projects. Always, I dreamed of becoming a published writer...and that dream came true! I write novels about sexy, powerful men and independent-minded women, and what happens when they find each other and fall in love. My books are sexy and romantic, and they've very often full of romantic suspense. I write the kinds of books I love to read, and I hope that makes my readers happy.",1433215,3.49,English,68,Sandra Marton,192 pages,"Corsican Gambit (Harlequin Presents, No 1637)",Paperback
Second Edition,"Known as Jaguar, Mac OS X 10.2 is a stunning technical achievement that has seduced Unix, Windows, and Mac OS 9 users. Adopting Jaguar is easy; mastering this new OS can take a bit more. And no matter how good your reference books are, you can't always stop to thumb through hundreds of pages to find the piece of information you need. Concise, easy to use, and thoroughly updated to cover Mac OS X 10.2, this new edition of the ""Mac OS X Pocket Guide"" introduces you to the fundamental concepts of Mac OS X. It also features a handy ""Mac OS X Survival Guide,"" that shows Mac users what's changed from Mac OS 9, and helps Windows and Unix converts get acclimated to their new OS.",2166510,3.25,English,4,Chuck Toporek,144 pages,Mac OS X Pocket Guide,Paperback
Twentieth Century Classics,--worldcat,385368,3.89,English,2801877,F. Scott Fitzgerald,176 pages,The Great Gatsby,Paperback
1st edition,"Chris was born in Grand Rapids, Michigan on June 18, 1949, the second child of Doris Christiansen Van Allsburg and Richard Van Allsburg. His sister Karen was born in 1947. ",884960,4.04,English,3092,Chris Van Allsburg,32 pages,The Garden of Abdul Gasazi,Hardcover
1st Edition,"After tasting defeat at the hands of the mythic Darkslayer, the underling Lords Catten and Verbard are determined to once and for all eliminate this thorn in their side. But they’ll have to wait their turn …",13578604,4.02,"
                ",187,Craig Halloran,370 pages,9780982779941,ebook
Abridged,"""Hockett has achieved his purpose—to reveal Bloomfield's way of working, the general principles that guided his work, and last, but by no means least, to indicate how Bloomfield's interests and",900140,3.5,English,4,Leonard Bloomfield,321 pages,A Leonard Bloomfield Anthology,Paperback
Booket oro,"La hora de la confrontación definitiva ha llegado. Pazair, ahora visir de Egipto, y su esposa Neferet, nombrada médico principal del reino, se enfrentan con el ministro de Economía, quien se erige en portavoz de los conjurados que se han adueñado del testamento de los dioses y que están a punto de derrocar a Ramsés el Grande. El alto funcionario, que se hacía pasar por amigo de Pazair, ha tejido una urdimbre tan espesa que la situación es desesperada;él y sus cómplices han desorganizado la economía y se proponen destruir los valores que han presidido el nacimiento de la civilización egipcia. Aunque los aliados escasean, el visir y su esposa, decididos a luchar hasta el final, tratan de identificar al asesino de su maestro espiritual, quien ha cometido el error de cruzarse en el camino de los facinerosos. ¿Dónde está el hermano de sangre, Suti, que ha logrado escapar de su prisión nubia? ¿Conseguirá el misterioso «devorador de sombras» eliminar a Pazair? ¿Quién es el alma verdadera del complot que se oculta en las tinieblas? ¿Quién, valiéndose de la traición, el crimen o la ley, saldrá vencedor de ese cruento combate del que depende la supervivencia de Egipto? La justicia del visir es el último volumen de la trilogía El juez de Egipto, cuyos dos primeros títulos, La pirámide asesinada y La ley del desierto, también han sido publicados por Editorial Planeta. Esta trilogía ha superado todas las previsiones de éxito y se ha convertido en un indiscutible bestseller.",23675925,3.96,Spanish,625,Christian Jacq,304 pages,La Justice du Vizir,Paperback
Fifth Edition,"Society: The Basics, Fifth Edition, is now the first multimedia, interactive learning package in sociology. Computers and other new information technology are changing the way we learn, and Society: The Basics is now a twenty-first-century resource. The heart of the learning package, the book itself, comes with many new features, and in addition, the text is supported by two new, high technology resources, the CD-ROM and the Web site.",1615607,3.41,English,291,John J. Macionis,499 pages,Society: The Basics,Paperback
Third Edition,"In his career he has collaborated with British newspapers, Africans, Americans and Russians. He is senior editor of the ""Independent on Sunday"" in London.",1257385,3.84,English,239,David  Randall,256 pages,The Universal Journalist,Hardcover
Narrativa contemporanea,"Dea non è una dea, ma una scrittrice, o, per lo meno, cerca di esserlo. Difficile impresa: sembra che gli aspiranti scrittori siano in aumento e, per giunta, le idee gliele ruba Woody Allen. Fra l’altro, sopra il suo appartamento, ereditato dalla zia che l’ha cresciuta, vivono due anziane amiche di questa, sempre pronte a dire la loro. Da aggiungere un’altra imprevista complicazione: un affascinante ex compagno di scuola, curioso di scrittura e di erotismo. Sullo sfondo un ambiente di provincia, un editore dagli espliciti diktat, e Little Tony.",21539872,4.33,Italian,3,Rosemary Randi,144 pages,Liquirizia. Sexy romance,Paperback
"Oeuvres, tome 3"," is undoubtedly Spinoza’s greatest work—a fully cohesive philosophical system that strives to provide a coherent picture of reality & to comprehend the meaning of an ethical life. Following a logical step-by-step format, it defines in turn the nature of God, the mind, human bondage to the emotions & the power of unde",980184,4.01,French,9980,Baruch Spinoza,378 pages,Ethica: Ordine geometrico demonstrata,Paperback
Film tie-in ed.,"But only five lucky children will be allowed inside. And the winners are: Augustus Gloop, an enormously fat boy whose hobby is eating; Veruca Salt, a spoiled-rotten brat whose parents are wrapped around her little finger; Violet Beauregarde, a dim-witted gum-chewer with the fastest jaws around; Mike Teavee, a toy pi",73811,4.1,English,497010,Roald Dahl,190 pages,Charlie and the Chocolate Factory,Paperback
Bantam Edition X7428,"Mary Renault was an English writer best known for her historical novels set in Ancient Greece. In addition to vivid fictional portrayals of Theseus, Socrates, Plato and Alexander the Great, she wrote a non-fiction biography of Alexander.",1105831,4.01,English,5393,Mary Renault,403 pages,The King Must Die,Mass Market Paperback
Book Club edition, Elting Morison has written a wise and subtle exploration of American life and society. Just as Lord David Cecil laid open an era in his ,1498113,3.56,English,9,Elting E. Morison,686 pages,Turmoil And Tradition: A Study of the Life and Times of Henry L. Stimson,Hardcover
" (Harlequin Deseo, #1109)","Jack Manning, el duro hombre de negocios, no había vuelto a ver a Paris Graham desde la noche en la que había rechazado su invitación para acabar con su virginidad. Aunque la oferta era más que tentadora, Manning no había podido obviar el hecho de que aquella joven de dieciocho años era la hija de su jefe. Desde entonces la seductora belleza había estado viviendo en Londres, pero ahora había vuelto...",2205479,3.1,Spanish,87,Bronwyn Jameson,160 pages,In Bed with the Boss's Daughter ,Paperback
Abridged,"On the run from the Pasdaran, the theocrat's terror army, and unable to count on support from his friends in the regular army, Iranian rebel leader M",7030241,3.98,English,1850,Dale Brown,0 pages,Strike Force,Audio CD
Oxford World's Classics," Livy's gripping storytelling vividly conveys the drama of the great battles, and individuals as well as events are brought powerfully to slife.",40008,4.13,"
                  ",3007,Livy,740 pages,"
                  0192831593
                      ",Paperback
"BBC Radio Collection, Abridged","The Diary of a Provincial Lady is a brilliantly observed comic novel, as funny and fresh today as when it was first written. It's not easy being a Provincial Lady in Devonshire in the 1920s, juggling a grumpy husband, mischievous children and a host of domestic dilemmas - from rice mould to a petulant cook. But this Provincial Lady will not be defeated; not by wayward flower bulbs, not by unexpected houseguests, not even by the Blitz. She will continue to preside over the W.I., endure rain-drenched family picnics and succeed as a published author, all the while tending to her strawberries.",860196,3.96,English,3012,E.M. Delafield,0 pages,Diary of a Provincial Lady,Audio Cassette
" Clásicos de la literatura,18","El Proceso es la novela principal de Franz Kafka, el testimonio aterrador de un inocente a quien absurdamente la justicia pretende culpabilizar. El protagonista siente sobre sí el peso de una organización social deshumanizada que acaba destruyendo al desorientado y agonizante sujeto. El relato se desenvuelve en ese clima de pesadilla que Kafka supo evocar con maestría inigualable.",59181,3.98,Spanish,161242,Franz Kafka,224 pages,Der Prozeß,Paperback
1st edition,Hun er fra Oslo.,16156051,4.1,"Bokmål, Norwegian; Norwegian Bokmål",168,Pedro Carmona-Alvarez,232 pages,Og været skiftet og det ble sommer og så videre,Hardcover
2nd U.S. Paperback Printing,". This is Herman Wouk's authentic picture of hotel-keeper Norman Paperman, discovering a new illicit love with a fading film star, amid zany mishaps and disasters recognizable to anyone who has lived on an island in th",2589654,3.92,English,2449,Herman Wouk,408 pages,Don't Stop the Carnival,Paperback
Fourth Edition,"When The Universe Next Door was first introduced nearly thirty years ago, it set the standard for a clear, readable introduction to worldviews. In concise, easily understood prose, James W. Sire explained the basics of theism, deism, naturalism, nihilism, existentialism, Eastern monism and the new consciousness.The second edition was updated and expanded to include sections on Marxism and secular humanism, as well as a completely reworked chapter on what is now widely known as New Age philosophy rather than new consciousness. And the third edition offered further updating and revisions, including a thoroughly revised chapter on New Age philosophy and, perhaps most importantly, a new chapter on postmodernism.Now the fourth edition refines the definition of worldview itself, incorporating Sire's thinking and teaching during the past decade. (His recent work is showcased in a new book, Naming the Elephant, also published by IVP.) The Universe Next Door has been translated into several languages and has been used as a text at over one hundred colleges and universities in courses ranging from apologetics and world religions to history and English literature. With the publication of the fourth edition, this book will continue to aid students, teachers and anyone who wants to understand the variety of worldviews that compete with Christianity for the allegiance of our minds and hearts.",56647,3.9,English,3088,James W. Sire,259 pages,The Universe Next Door: A Basic Worldview Catalog,Paperback
5th Edition,"Long recognized as the standard work in its field, this fifth edition of Breeding Field Crops deals with worldwide advances in plant breeding science and practice in recent years. Building on the foundations of earlier editions, this thoroughly revised volume includes expanded coverage on the role increased knowledge of genetics plays in the development of new crop cultivars, and fully explores exciting new developments in molecular biology.",1746717,4.64,English,14,David Allen Sleper,432 pages,Breeding Field Crops,Hardcover
Abridged, and watches ,3043569,3.89,English,160,Robert Lacey,0 pages,Majesty: Elizabeth II and the House of Windsor,Audio Cassette
Abridged,"Awkward and shy, favored by neither beauty nor brilliance, Catherine Sloper is a disappointment to her father, Dr. Austin Sloper, whose beautiful, intelligent wife died shortly after childbirth. When a handsome but ruthless young suitor appears on the scene, Dr. Sloper is convinced he is only after Catherine's fortune. He alternately threatens and beguiles her out of a growing affection, forcing Catherine to make a fateful choice -- and discovering in her a pale reflection of his own grim and stubborn nature.",1839377,3.67,English,14716,Henry James,3 pages,Washington Square,Audio
"Tapestry Romance, #2","Maura Seger was born in 1951. She and her husband, Michael, met while they were both working for the same company. They married after a whirlwind courtship that might have been taken directly from romance novel. She credits her husband's patient support and good humor for helping her fulfill the lifelong dream of being a writer.",1498124,3.93,English,28,Maura Seger,308 pages,Defiant Love ,Paperback
Grandes autores de Batman,"Convertido en uno de los equipos creativos por excelencia del cómic norteamericano, el tándem formado por Jeph Loeb y Tim Sale ocupa un lugar de privilegio en la lista de autores que durante las últimas décadas han enriquecido la mitología del Hombre Murciélago. Una consideración que se ganaron a pulso gracias a la multipremiada Batman: El largo Halloween y su secuela Batman: Victoria Oscura; pero que también encuentra justificación en otros proyectos como Batman: Caballero Maldito y Catwoman: Si vas a Roma. Títulos, todos ellos, ahora reunidos en un lujoso cofre, recordatorio de la imborrable huella que han dejado en las calles de Gotham City.",18160093,3.67,"
                  ",6,Jeph Loeb,1160 pages,"Batman The Long Halloween, Batman Dark Victory, Batman Haunted Knight y Catwoman: When in Rome",Cofre
Third Edition,"This versatile, brief text can be used as a supplement within an established student success course or as a stand-alone text in any course, seminar, or workshop that emphasizes career and life planning. The book's emphasis on planning makes it different from typical job-hunting guides. Most of the pages are devoted to helping students figure out how to find rewarding work they can be passionate about, with somewhat less attention given to the mechanics of job-hunting.",3311984,4.0,English,1,Dave Ellis,125 pages,Career Planning,Paperback
First Edition,From author's website:,215065,3.43,English,381,Katherine Paterson,120 pages,Flip-Flop Girl,Hardcover
1st edition,Shop like a local at Kuala Lumpur's Pudu Market before retiring to Jin Bukit Bintang for a Chinese massage,3143431,3.92,"
                  ",12,Joe Bindloss,280 pages,"
                  1741044855
                      ",Paperback
Silhouette Intimate Moments #796,It was only in the arms of Ramona Hardy that Jake found peace. But the small-town doctor h,602144,3.93,English,59,Ruth Wind,256 pages,Reckless ,Paperback
Oxford School Shakespeare,"Shakespeare's intertwined love polygons begin to get complicated from the start--Demetrius and Lysander both want Hermia but she only has eyes for Lysander. Bad news is, Hermia's father wants Demetrius for a son-in-law. On the outside is Helena, whose unreturned love burns hot for Demetrius. Hermia and Lysander plan to flee from the city under cover of darkness but are pursued by an enraged Demetrius (who is himself pursued by an enraptured Helena). In the forest, unbeknownst to the mortals, Oberon and Titania (King and Queen of the faeries) are having a spat over a servant boy. The plot twists up when Oberon's head mischief-maker, Puck, runs loose with a flower which causes people to fall in love with the first thing they see upon waking. Throw in a group of labourers preparing a play for the Duke's wedding (one of whom is given a donkey's head and Titania for a lover by Puck) and the complications become fantastically funny.",6670482,3.94,English,364181,William Shakespeare,102 pages,A Midsummer Night's Dream,Paperback
"Extraordinary Voyages, #6",Jules Gabriel Verne was a French author who pioneered the genre of science-fiction. He is best known for his novels ,3140930,3.86,English,149950,Jules Verne,394 pages,Vingt Mille Lieues Sous les Mers,Hardcover
Abridged,"My partner, Nicki, and I have been writing together for 12 years. We're obsessed by what makes a satisfying story. I'm excited to hear from our readers what does it for them -- and what doesn't. As a working mom, the only book time I manage to steal these days is right before bed. I'm not the girl who can watch SVU and go to sleep with a smile. Ruling out kids/the economy/the world in peril as sub",2305997,2.4,English,5977,Emma McLaughlin,0 pages,Citizen Girl,Audio Cassette
The Agatha Christie Mystery Collection, Poirot has taken a particular interest in the young woman who has recently narrowly escaped a series of life-threatening accidents. Something tells the Belgian sleuth that these so,589497,3.89,English,23462,Agatha Christie,179 pages,Peril at End House,Hardcover
Second Vintage Books Edition,"Hunter Stockton Thompson was an American journalist and author, famous for his book ",894834,4.08,English,243742,Hunter S. Thompson,204 pages,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Paperback
4th,"First published in 1961, Forrest E. Baird's revision of Philosophic Classics continues the tradition of providing generations of students with high quality course material. Using the complete works, or where appropriate, complete sections of works, this anthology allows philosophers to speak directly to students. Esteemed for providing the best available translations, Philosophic Classics: From Plato to Derrida, features complete works or complete sections of the most important works by the major thinkers, as well as shorter samples from transitional thinkers.",30573,3.72,English,85,Forrest E. Baird,1217 pages,Philosophic Classics: From Plato to Derrida,Paperback
Harlequin Intrigue #685,"The destruction of the U.S. embassy in Amsterdam had left ex-CIA operative Rafe Sinclair with flashbacks of the unspeakable horrors he'd witnessed that night, and forced him to abandon the job he'd dedicated his life to. His only consolation had been that the terrorist behind the attack was dead -- killed by Rafe's own hand.",1816662,3.46,English,24,Gayle Wilson,256 pages,Rafe Sinclair's Revenge  ,Paperback
Sixth Printing," Moorcock has mentioned The Gods of Mars by Edgar Rice Burroughs, The Apple Cart by George Bernard Shaw and The Constable of St. Nicholas by Edward Lester Arnold as the first three books which captured his imagination. He became editor of Tarzan Adventures in 1956,",3346751,3.85,English,1728,Michael Moorcock,173 pages,Sword of the Dawn,Paperback
