Language,numberofpages,author,bookEdition,description,title,GoodReadAverageRating,bookformat,NumberofRatings,id
German,223 pages,Daniel Glattauer,First Edition,"Bei Leo Leike landen irrtümlich E-Mails einer ihm unbekannten Emmi Rothner. Aus Höflichkeit antwortet er ihr. Und weil sich Emmi von ihm angezogen fühlt, schreibt sie zurück.",Gut gegen Nordwind,3.88,Hardcover,13902,1820716
                                  ,128 pages,HaveYouSeenThisGirL,Gold,"Mahirap at panget si Girl tapos magnet siya ng mga poging mayayaman na boys? YES! Cliché? YES! So what makes this book special? This story has made a lot of people online laugh, as in hagalpak talaga with matching headbang pa! This is Eya's diary, a girl who believes she's ugly and will meet Cross Sandford, the most annoying nilalang ever. Samahan natin si Eya sa nakakaloka niyang adventure sa Willford Academy! A Cinderella story with a twist katatawanan! A story na pwedeng-pwede sa mga kabataan at pati na rin sa lagpas kabataan, para sa kababaihan, kalalakihan, binabae, o pusong lalaki. A very funny and kakilig story.",9789710573653,4.4,Mass Market Paperback,7059,17903381
English,369 pages,Lynsay Sands,Love Spell," - ""Lucern."" Successful biographer of family, books recently categorized as ""paranormal romance."" Something of a recluse. Hates crowds, aggressive women. Doesn't like sunbathing, garlicky dinners or religious symbols. Likes old-fashioned values; spicy Mexican dishes; warm, nice-smelling neck; and plump red lips. Stronger than ten men and can vanish in the blink of an eye. Currently unaware he's seeking a woman to share eternity.",Single White Vampire,4.17,Mass Market Paperback,18695,263149
English,186 pages,Theodore Sturgeon,First Vintage Books Edition,"There's Lone, the simpleton who can hear other people's thoughts and make a man blow his brains out just by looking at him. There's Janie, who moves things without touching them, and there are the teleporting twins, who can travel ten feet or ten miles. There's Baby, who invented an antigravity engine while still in the cradle, and Gerry, who has everything it takes to run the world except for a conscience. Separately, they are talented freaks. Together, they compose a single organism that may represent the next step in evolution, and the final chapter in the history of the human race.",More Than Human,3.98,Paperback,12138,541024
English,144 pages,Alice  Miller,3rd edition,"Never allowed to express their true feelings, and having lost touch with their true selves, they act out their repressed feelings with episodes of depression and compulsive behav",Das Drama des begabten Kindes und die Suche nach dem wahren Selbst: eine Um- und Fortschreibung,4.09,Paperback,10925,4887
"
                  ",327 pages,Holly Black,First Edition,"That was how Lila, the girl he love","
                  144240339X
                      ",3.98,Hardcover,17802,8288246
Spanish,96 pages,Anonymous,Clásicos Universales,"Así, garrotazo a garrotazo, la simpleza y credulidad del Lázaro de las primeras páginas ceden paso a la sagacidad y a la astucia propias del más clásico y típic",La vida del Lazarillo de Tormes y sus fortunas y adversidades ,3.49,Hardcover,12588,61794
English,220 pages,John Wyndham,#299K,"John Wyndham Parkes Lucas Beynon Harris was the son of a barrister. After trying a number of careers, including farming, law, commercial art and advertising, he started writing short stories in 1925. After serving in the civil Service and the Army during the war, he went back to writing. Adopting the name John Wyndham, he started writing a form of science fiction that he called 'logical fantasy'.",The Midwich Cuckoos,3.92,Mass Market Paperback,13055,161846
English,144 pages,Bill Willingham,Trade,"With the identity of the Adversary finally revealed to the citizens of Fabletown, it's time to begin making preparations in earnest for the defense of their stronghold in the mundane world - and that means forging new alliances with whoever remains unconquered by the Adversary's legions. But the arrival in Fabletown of a delegation from the Arabian Homelands shows just how tricky this kind of coalition-building can be - especially when one side is concealing Weapons of Magical Destruction!","Fables, Volume 7: Arabian Nights (and Days)",4.1,Paperback,14164,21327
English,432 pages,Mitchell Zuckoff,Large Print,"13 HOURS presents, for the first time ever, the true account of the events of September 11, 2012, when terrorists attacked the US State Department Special Mission Compound and a nearby CIA station called the Annex in Benghazi, Libya. A team of six American security operators fought to repel the attackers and protect the Americans stationed there. Those men went beyond the call of duty, performing extraordinary acts of courage and heroism, to avert tragedy on a much larger scale. This is their personal account, never before told, of what happened during the thirteen hours of that now-infamous attack.",13 Hours: The Inside Account of What Really Happened In Benghazi,4.26,Hardcover,12602,22608582
English,373 pages,Sarah Crossan,First Edition,"Ever since the Switch, when the oxygen levels plummeted and most of humanity di",Breathe,3.69,Hardcover,14868,11544466
                                  ,168 pages,Erica Stevens,1st edition,"Captured, taken from her beloved family and woods, Aria’s biggest fear is not the imminent death facing her, but that she will be chosen as a blood slave for a member of the ruling vampire race. No matter what becomes of her though, Aria knows that she must keep her identity hidden from the monsters imprisoning her. She has already been branded a member of the rebellion, but the vampires do not know the true depth of her involvement with it, and they must never know.",B0087G3U92,4.06,Kindle Edition,15774,15059301
                                  ,208 pages,Brandon Sanderson,Signed Limited Edition,"Stephen Leeds, AKA “Legion,” is a man whose unique mental condition allows him to generate a multitude of personae: hallucinatory entities with a wide variety of personal characteristics and a vast array of highly specialized skills. As the new story begins, Leeds and his “aspects” are hired by I3 (Innovative Information Incorporated) to recover a corpse stolen from the local morgue. But there’s a catch. The corpse is that of a pioneer in the field of experimental biotechnology, a man whose work concerned the use of the human body as a massive storage device. He may have embedded something in the cells of his now dead body. And that something might be dangerous…",Legion: Skin Deep,4.11,Leather Bound,11376,20886354
English,410 pages,Emma Donoghue,First Edition,"Mary Saunders, a lower-class London schoolgirl, was born into rough cloth but hungered for lace and the trappings of a higher station than her family would ever know. In 18th-century England, Mary's shrewd instincts will get her only so far, and she despairs of the plans made for her to carve out a trade as a seamstress or a maid. Unwilling to bend to such a destiny, Mary strikes out on a painful, fateful journey all her own. Inspired by the obscure historical figure Mary Saunders, Slammerkin is a provocative, graphic tale and a rich feast of an historical novel. Author Emma Donoghue probes the gap between a young girl's quest for freedom and a better life and the shackles that society imposes on her. ""Never give up your liberty.""",Slammerkin,3.69,Paperback,12553,44543
                                  ,317 pages,Christine Zolendz,2nd Edition,"I'm finally home after struggling through my brother's illness and death. But, home is definitely a bit different. My best friend (the only person alive now that knows my secret) has a new boyfriend; and he has a friend. Shane Maxton: bad boy, tattooed rock god, eye candy extraordinaire. He is also New York City's most arrogant, self-serving, son of a, well, a definite one-night stand kind of a guy.",B008NYB63A,4.03,Kindle Edition,20616,15768536
English,369 pages,Sherrilyn Kenyon,1st ,"A hired gunslinger, William Jessup Brady lived his life with one foot in the grave. He believed that every life had a price. Until the day when he finally found a reason to live. In one single act of brutal betrayal, he lost everything, including his life. Brought back by a Greek goddess to be one of her Dark-Hunters, he gave his immortal soul for vengeance",Retribution,4.12,Hardcover,18094,9065265
English,438 pages,Richard Kadrey,1st Edition,", the ruthless avenger, a.k.a. Stark, finds himself trapped in the middle of a war between Heaven and Hell. With God on vacation, the Devil nosing around in Paradise, and an insane serial killer doing ser",Aloha from Hell,4.01,Hardcover,12904,10439703
English,192 pages,Alan Lee,1st edition, Alan Lee reveals in pictures and in words how he created the beautiful watercolor paintings for the special centenary edition of ,The Lord of the Rings Sketchbook,4.26,Hardcover,9193,25790
English,9 pages,Anne Rice,Abridged,"Book 1, ",The Vampire Chronicles,4.26,Audio Cassette,11286,43780
English,538 pages,James S.A. Corey,UK,James Holden and his crew know the strengt,Babylon's Ashes,4.18,Hardcover,14236,25877663
English,256 pages,Brian K. Vaughan,Deluxe Edition,"Written by Brian K. Vaughan (LOST, PRIDE OF BAGHDAD, EX MACHINA) and with ar",Y: The Last Man - The Deluxe Edition Book One,4.36,Hardcover,11399,3710603
English,304 pages,Tony Kushner,Complete Edition; Movie Tie-In Edition,"In two full-length plays--Millennium Approaches and Perestroika--Kushner tells the story of a handful of people trying to make sense of the world. Prior is a man living with AIDS whose lover Louis has left him and become involved with Joe, an ex-Mormon and political conservative whose wife, Harper, is slowly having a nervous breakdown. These stories are contrasted with that of Roy Cohn (a fictional re-creation of the infamous American conservative ideologue who died of AIDS in 1986) and his attempts to remain in the closet while trying to find some sort of personal salvation in his beliefs.",Angels in America:  A Gay Fantasia on National Themes,4.29,Paperback,11475,72003
English,413 pages,Sarah Palin,1st Edition,"bestselling memoir from Sarah Palin, one of America’s most beloved and controversial political figures. Now with new material, ",Going Rogue: An American Life,3.28,Hardcover,10715,6922622
English,479 pages,James Rollins,1st,"An earthquake in Masada, Israel, kills hundreds and reveals a tomb buried in the heart of the mountain. A trio of investigators—Sergeant Jordan Stone, a military forensic expert; Father Rhun Korza, a Vatican priest; and Dr. Erin Granger, a brilliant but disillusioned archaeologist—are sent to explore the macabre discovery, a subterranean temple holding the crucified body of a mummified girl.",The Blood Gospel: The Order of the Sanguines Series,3.97,Hardcover,12700,15818164
English,238 pages,Bill Willingham,Trade,"Will all-out war looming between the forces of the Adversary and the free Fables living in the mundane world, everything now depends on a humble janitor known as Flycatcher. Released from centuries of trauma-induced amnesia, Prince Ambrose (as he was known in happier times) faces a long and difficult road - one that will take him through the lands of the dead and into the heart of the enemy's realm. Once there, this unassuming and unlikely hero will face his greatest and most arduous test - and the future of both Fabletown and the Homelands will turn on the outcome. ","Fables, Volume 10: The Good Prince",4.37,Paperback,13823,2147714
English,181 pages,Stephen King,Large print,"Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two, he and his older brother, David, were raised by his mother. Parts of his childhood were spent in Fort Wayne, Indiana, where his father's family was at the time, and in Stratford, Connecticut. When Stephen was eleven, his mother brought her children back to Durham, M",The Shawshank Redemption,4.52,Hardcover,13109,39664
English,434 pages,Salman Rushdie,UK,"Moraes 'Moor' Zogoiby is a 'high-born crossbreed', the last surviving scion of a dynasty of Cochinise spice merchants and crime lords. He is also a compulsive storyteller and an exile. As he travels a route that takes him from India to Spain, he leaves behind a labyrinthine tale of mad passions and volcanic family hatreds, of titanic matriarchs and their mesmerised offspring, of premature deaths and curses that strike beyond the grave. ",The Moor's Last Sigh,3.92,Paperback,10781,9865
English,304 pages,Cat Patrick,US Edition,"Each night at precisely 4:33 am, while sixteen-year-old London Lane is asleep, her memory of that day is erased. In the morning, all she can ""remember"" are events from her future. London is used to relying on reminder notes and a trusted friend to get through the day, but things get complicated when a new boy at school enters the picture. Luke Henry is not someone you'd easily forget, yet try as she might, London can't find him in her memories of things to come. ",Forgotten,3.79,Hardcover,16741,9415951
