author,bookformat,Language,bookEdition,NumberofRatings,numberofpages,GoodReadAverageRating,id,description,title
Karen Marie Moning,Hardcover,English,First Edition,32960,512 pages,4.12,12444166,"The year is 1 AWC—After the Wall Crash. The Fae are free and hunting us. It’s a war zone out there, and no two days are alike. I’m Dani O’Malley, the chaos-filled streets of Dublin are my home, and there’s no place I’d rather be. ",Iced
Stephen King,Audio Cassette,English,Unabridged,26474,9 pages,3.82,102733,". On a redeye flight from Los Angeles to Boston, only 11 passengers survive—but landing in a dead world makes them wish they hadn't.",Four Past Midnight
Brian K. Vaughan,Paperback,English,Trade,31185,152 pages,4.43,25451555,: ,"Saga, Volume Five"
Henry Fielding,Paperback,English,Penguin Classics,27168,975 pages,3.73,99329,"A foundling of mysterious parentage brought up by Mr. Allworthy on his country estate, Tom Jones is deeply in love with the seemingly unattainable Sophia Western, the beautiful daughter of the neighboring squire—though he sometimes succumbs to the charms of the local girls. When Tom is banished to make his own fortune and Sophia follows him to London to escape an arranged marriage, the adventure begins. A vivid Hogarthian panorama of eighteenth-century life, spiced with danger and intrigue, bawdy exuberance and good-natured authorial interjections, Tom Jones is one of the greatest and most ambitious comic novels in English literature.","The History of Tom Jones, a Foundling"
Ben Aaronovitch,Paperback,English,Del Rey,28534,289 pages,4.1,8680418,"The song. That’s what London constable and sorcerer’s apprentice Peter Grant first notices when he examines the corpse of Cyrus Wilkins, part-time jazz drummer and full-time accountant, who dropped dead of a heart attack while playing a gig at Soho’s 606 Club. The notes of the old jazz standard are rising from the body—a sure sign that something about the man’",Moon Over Soho
Rachel Van Dyken,Kindle Edition,"
                  ",1st Edition,36617,250 pages,4.19,18134249,I didn't know that time wasn't my ally -- that every second that ticked past was one step closer to the end of something that was beginning to mean the end of mysel,Ruin
Sara Shepard,Hardcover,English,First Edition,25663,305 pages,4.05,9893331,"It’s been a year since the torturous notes from A stopped and the mystery of Alison DiLaurentis’s disappearance was finally put to rest. Now seniors in high school, Aria, Spencer, Hanna, and Emily are older, but they’re not any wiser. The pretty little liars have more secrets than ever - twisted secrets that could destroy the perfect lives they’ve worked so hard to rebuild. ",Twisted
Laurell K. Hamilton,Hardcover,English,First Edition,34408,340 pages,3.85,2149535,"Laurell K. Hamilton is one of the leading writers of paranormal fiction. A #1 New York Times bestselling author, Hamilton writes the popular Anita Blake, Vampire Hunter novels and the Meredith Gentry series. She is also the creator of a bestselling comic book series based on her Anita Blake novels and published by Marvel Comics. Hamilton is a full-time writer and lives in the suburbs of St. Louis","Blood Noir (Anita Blake, Vampire Hunter, #16)"
Thomas Harris,Hardcover,English,First Edition,26177,336 pages,3.45,32416,IN ALL OF LITERATURE.,Hannibal Rising
Naoko Takeuchi,Paperback,Japanese,新装版 / New cover edition,22474,241 pages,4.28,1429082,"Naoko Takeuchi (武内 直子, Takeuchi Naoko) born March 15, 1967, a manga artist (mangaka), lives in Tokyo, Japan. Takeuchi's works have a wide following among anime/manga fans. She has become a well-known mangaka worldwide. Her most popular work, Sailor Moon, rose to become one of the most recognized manga/anime figures to date.",美少女戦士セーラームーン
Chris Anderson,Paperback,English,"Revised, Updated",22499,288 pages,3.83,2467566, bestseller that introduced the business world to a future that s already here -- now in paperback with a new chapter about Long Tail Marketing and a new epilogue.,The Long Tail: Why the Future of Business Is Selling Less of More
John Irving,Paperback,English,Ballantine Books Trade Paperback Edition,22071,820 pages,3.62,9355,"Every major character in Until I Find You has been marked for life- not only William Burns, a church organist who is addicted to being tattooed, but also William's song, Jack, an actor who is shaped as a child by his relationships with older women. And Jack's mother, Alice- a Toronto tattoo artist- has been permanently damaged by William's rejection of her. This is a novel about the loss of innocence, on many levels.",Until I Find You
K. Bromberg,Kindle Edition,"
                  ",1 edition,35304,350 pages,4.56,17880714,Big moments. ,Crashed
Stephen Greenblatt,Hardcover,English,1st Edition,20951,356 pages,3.83,10954979,", by Lucretius—a beautiful poem of the most dangerous ideas",The Swerve: How the World Became Modern
Norman Doidge,Hardcover,English,(James H. Silberman Books),22398,427 pages,4.2,570172,"An astonishing new science called neuroplasticity is overthrowing the centuries-old notion that the human brain is immutable. Psychiatrist and psychoanalyst, Norman Doidge, M.D., traveled the country to meet both the brilliant scientists championing neuroplasticity and the people whose lives they've transformed people whose mental limitations or brain damage were seen as unalterable. We see a woman born with half a brain that rewired itself to work as a whole, blind people who learn to see, learning disorders cured, IQs raised, aging brains rejuvenated, stroke patients learning to speak, children with cerebral palsy learning to move with more grace, depression and anxiety disorders successfully treated, and lifelong character traits changed. Using these marvelous stories to probe mysteries of the body, emotion, love, sex, culture, and education, Dr. Doidge has written an immensely moving, inspiring book that will permanently alter the way we look at our brains, human nature, and human potential.",The Brain That Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science
D.H. Lawrence,Paperback,English,thrift,25137,416 pages,3.66,9784,"The novel tells of the relationships of two sisters, Ursula and Gudrun, who live in a Midland colliery town in t",Women in Love
Anna Godbersen,Hardcover,English,1st Edition,33672,423 pages,3.85,2218252, ,Rumors
Kathleen Kent,Hardcover,English,Large Print,28362,332 pages,3.77,3181953,"Martha Carrier was one of the first women to be accused, tried and hanged as a witch in Salem, Massachusetts. Like her mother, young Sarah Carrier is bright and willful, openly challenging the small, brutal world in which they live. Often at odds with one another, mother and daughter are forced to stand together against the escalating hysteria of the trials and the superstitious tyranny that led to the torture and imprisonment of more than 200 people accused of witchcraft. This is the story of Martha's courageous defiance and ultimate death, as told by the daughter who survived.",The Heretic's Daughter
Thucydides,Paperback,English,Penguin Classics,24566,648 pages,3.87,261243,"Written four hundred years before the birth of Christ, this detailed contemporary account of the long life-and-death struggle between Athens and Sparta stands an excellent chance of fulfilling its author's ambitious claim. Thucydides himself (c.460-400 BC) was an Athenian and achieved the rank of general in the earlier stages of the war. He applied thereafter a passion for accuracy and a contempt for myth and romance in compiling this factual record of a disastrous conflict.",Ἱστορίαι
Jonathan Maberry,Hardcover,English,1st Edition,28345,458 pages,4.1,7157310,"In the zombie-infested, post-apocalyptic America where Benny Imura lives, every teenager must find a job by the time they turn fifteen or get their rations cut in half. Benny doesn't want to apprentice as a zombie hunter with his boring older brother Tom, but he has no choice. He expects a tedious job whacking zoms for cash, but what he gets is a vocation that will teach him what it means to be human.",Rot & Ruin
Jorge Luis Borges,Paperback,English,Expanded ed.,23380,256 pages,4.46,17717,"Although his work has been restricted to the short story, the essay, and poetry, Jorge Luis Borges of Argentina is recognized all over the world as one of the most original and significant figures in modern literature. In his preface, Andre Maurois writes: ""Borges is a great writer who has composed only little essays or short narratives. Yet they suffice for us to call him great because of their wonderful intelligence, their wealth of invention, and their tight, almost mathematical style.""",Labyrinths
Stephen Crane,Paperback,English,(Barnes & Noble Classics Series),25365,240 pages,3.64,2918374,", is part of the ",The Red Badge of Courage
Ayn Rand,Paperback,English,60th Anniversary Edition,22691,464 pages,3.89,668,"First published in 1936, the theme of this classic novel is the struggle of the individual against the state. It portrays the impact of the Russian Revolution on three human beings who demand the right to live their own lives an pursue their own happiness. It tells of a young woman's passionate love, held like a fortress against the corrupting evil of a totalitarian state.",We the Living
Tim LaHaye,Hardcover,English,Large Print,25112,480 pages,3.97,79705,"A New York Times BestsellerThis is the fifth volume in the Left Behind series of novels based on New Testament prophecies about the end of life on Earth. In this book, the world has been visited by a plague of demon locusts that attack anyone without the seal of God etched on their foreheads. Internet communication is becoming the primary means of maintaining unity within the underground resistance movement of believers. New global warfare threatens a third of the world's population. And the Tribulation Force members deal with personal crises, including pregnancies and lost family members.",Apollyon: The Destroyer Is Unleashed
Chuck Palahniuk,Hardcover,English,First Edition,22980,255 pages,2.96,4601396,—Chuck Palahniuk’s finest novel since the generation-defining ,Pygmy
أحلام مستغانمي,Paperback,"
                  ",ط25,20531,404 pages,3.86,2501458,في حضور الوجدان تتألق معاني أحلام مستغانمي، وفي ذاكرة الجسد تتوج حضورها، حروفاً كلمات عبارات تتقاطر في حفل الغناء الروحي. موسيقاه الوطن المنبعث برغم الجراحات... مليون شهيد وثورة ومجاهد، وجزائر الثكلى بأبنائها تنبعث زوابع وعواصف الشوق والحنين في قلب خالد الرسام الذي امتشق الريشة بعد أن هوت يده التي حملت السلاح يوماً، والريشة والسلاح سيّان، كلاهما ريشة تعزف على أوتار الوطن. ففي فرنسا وعندما كان يرسم ما تراه عيناه، جسر ميرابو ونهر السين، وجد أن ما يرسمه هو جسراً آخر ووادياً آخر لمدينة أخرى هي قسنطينة، فأدرك لحظتها أنه في كل حال لا يرسم ما نسكنه، وإنما ما يسكننا. ,ذاكرة الجسد
Brian Tracy,Paperback,English,Second Edition,24191,128 pages,3.85,95887,"Brian Tracy has consulted for more than 1,000 companies and addressed more than 5,000,000 people in 5,000 talks and seminars throughout the US, Canada and 55 other countries worldwide. As a Keynote speaker and seminar leader, he addresses more than 2",Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time
David Baldacci,Hardcover,English,Large Print,25417,672 pages,4.13,25066991,"But now, his skills have left him. Sent overseas on a critical assignment, he fails, unable to pull the trigger. Absent his tale",The Guilty
Melissa Marr,Hardcover,English,1st Edition,34596,340 pages,3.97,6368610, ,Radiant Shadows
Gordon Korman,Hardcover,English,Special Library Edition,25255,222 pages,4.07,11198312,"Thirteen-year-old Dan Cahill and his older sister, Amy, thought they belonged to the world's most powerful family. They thought the hunt for 39 Clues leading to the source of that pow",The Medusa Plot
Jo Nesbø,Hardcover,English,Deckle edge,25848,407 pages,4.07,19101283,"Sonny Lofthus, in his early thirties, has been in prison for the last dozen years: serving time for crimes he didn't commit",Sønnen
Aprilynne Pike,Hardcover,English,1st Edition,36372,359 pages,3.98,6801582,"Although Laurel has come to accept her true identity as a faerie, she refuses to turn her back on her human life - and especially her boyfriend, David - to return to the faerie world.",Spells
Joseph Murphy,Mass Market Paperback,English,Revised,22788,304 pages,4.12,68984,"This remarkable book has already helped readers the world over achieve the seemingly impossible just by learning how to bring the incredible force of the subconscious under their control. Now you, too, can learn these powerful techniques for changing your life simply by changing your beliefs. ",The Power of Your Subconscious Mind
Robert A. Heinlein,Paperback,English,Complete and Uncut Version,26292,416 pages,3.86,7171856,Except that two agents of the most secret intelligence agency in the U.S. government were on the scene and disappeared without reporting back. Then four more follow up agents also disappeared. So the head of the agency and his t,The Puppet Masters
Mark Millar,Paperback,English,Trade,26873,208 pages,4.05,91714," is changing, and it's time to choose: Whose side are you on?",Civil War: A Marvel Comics Event
Janet Evanovich,Paperback,English,Large Print,36730,384 pages,3.77,3400816,"Evanovich fans rejoice! Stephanie Plum is back in town, along with her sidekick Lula, her Grandma Mazur, and an ever-widening cast of freaks, criminals, deranged felons, and lunatics looking for love. And just when Stephanie thinks her life can't get any more complicated, in walks the mysterious Diesel. A man who seems to show up at the most inconvenient moments. This time, he's the instigator for Stephanie's new adventure, which involves camping in the Pine Barrens with Lula, and perhaps even a sighting of the Jersey Devil...so hang on for a Stephanie Plum novel that is sure to send chills up your spine--it gives new meaning to the words hilarious, and ""spooky.""",Plum Spooky
Orson Scott Card,Mass Market Paperback,English,First mass market edition,29495,241 pages,3.86,40290,"Orson Scott Card is the author of the novels Ender's Game, Ender's Shadow, and Speaker for the Dead, which are widely read by adults and younger readers, and are increasingly used in schools.",Alvin Maker: Seventh Son
Emma Donoghue,Hardcover,English,US Edition,33988,291 pages,3.65,28449257,", an English nurse brought to a small Irish village to observe what appears to be a miracle-a girl said to have survived without food for months-soon finds herself fighting to save the child's life.",The Wonder
Richard J. Foster,Hardcover,English,Special 20th Anniversary Edition,24299,228 pages,4.18,64023,"Richard J. Foster is the author of several bestselling books, including ",Celebration of Discipline: The Path to Spiritual Growth
Muriel Spark,Paperback,English,Perennial Classics Edition,31401,150 pages,3.76,517188,"At the staid Marcia Blaine School for Girls in Edinburgh, Scotland, teacher extraordinaire Miss Jean Brodie is unmistakably, and outspokenly, in her prime. She is passionate in the application of her unorthodox teaching methods and strives to bring out the best in each one of her students. Determined to instill in them independence, passion, and ambition, Miss Brodie advises them, ""Safety does not come first. Goodness, Truth, and Beauty come first. Follow me."" And they do--but one of them will betray her.",The Prime of Miss Jean Brodie 
Melissa Marr,Hardcover,English,1st Edition,39131,389 pages,3.83,5152561,Aislinn never expected to rule the very creatures who'd always terrified her - but that was before Keenan. He stole her,Fragile Eternity
Nora Roberts,Paperback,English,First Edition,31642,384 pages,4.04,86321,"At forty-seven, Rosalind Harper is a woman whose experiences have made her strong enough to bend without breaking--and weather any storm. A widow with three grown sons, she survived a disastrous second marriage and built her In The Garden nursery from the ground up. Through the years, In The Garden has become more than just a thriving business--it is a symbol of hope and independence to Roz, and to the two women she shares it with. Newlywed Stella and new mother Hayley are the sisters of her heart, and together the three of them are the future of In The Garden.",Black Rose
Amy Tan,Paperback,English,Ballantine Reader's Circle,26183,472 pages,3.41,9503,"San Francisco art patron Bibi Chen has planned a journey of the senses along the famed Burma Road for eleven lucky friends. But after her mysterious death, Bibi watches aghast from her ghostly perch as the travelers veer off her itinerary and embark on a trail paved with cultural gaffes and tribal curses, Buddhist illusions and romantic desires. On Christmas morning, the tourists cruise across a misty lake and disappear.",Saving Fish from Drowning: A Novel
Chetan Bhagat,Paperback,English,1st edition,27606,260 pages,3.16,22874559,"HALF GIRLFRIEND (HINDI) Once upon a time, there was a Bihari boy called Madhav. He fell in love with a girl from Delhi called Riya. Madhav didn't speak English well. Riya did. Madhav wanted a relationship. Riya didn't. Riya just wanted friendship. Madhav didn't. Riya suggested a compromise. She agreed to be his half girlfriend. From the author of the blockbuster novels Five Point Someone, One Night @ the Call Center, The 3 Mistakes of My Life, 2 States and Revolution 2020 comes a simple and beautiful love story that will touch your heart and inspire you to chase your dreams. (Written By Chetan Bhagat)",Half Girlfriend
James Patterson,Hardcover,English,Large Print,29491,480 pages,3.83,1713912,"When the home of Alex Cross's longtime friend Ellie Cox is turned into the worst murder scene Alex has ever seen, he is devastated. The destruction leads him to believe that he's chasing a horrible new breed of killer. As Alex and his girlfriend Brianna Stone begin the hunt for the villain responsible for the killings, they quickly find themselves entangled in the deadly Nigerian underworld of Washington, D.C. What they discover is shocking: a strongly organized gang of teenage thugs headed by a powerful, diabolical man—The Tiger.",Cross Country
James Gleick,Paperback,English,First Edition,23670,352 pages,3.98,64582," records the birth of a new science. This new science offers a way of seeing order and pattern where formerly only the random, the erratic, the unpredictable—in short, the chaotic—had been observed. In the words of Douglas Hofstadter, “It turns out that an eerie type of chaos can lurk just behind a facade of order—and yet, deep inside the chaos lurks an even eerier type of order.”",Chaos: Making a New Science
Sherrilyn Kenyon,Mass Market Paperback,English,First Edition,36462,340 pages,4.06,84132,"Arik is such a predator. Condemned by the gods to live eternity without emotions, Arik can only feel when he's in the dreams of others. For thousands of years, he's drifted through the human unconscious, searching for sensation. Now he's finally fo",The Dream Hunter
