bookEdition,NumberofRatings,title,author,id,description,numberofpages,GoodReadAverageRating,Language,bookformat
First,15716,House of M,Brian Michael Bendis,105973,"The Marvel event of the decade is here! The Avengers and the X-Men are faced with a common foe that becomes their greatest threat: Wanda Maximoff! The Scarlet Witch is out of control, and the fate of the entire world is in her hands. Will Magneto help his daughter or use her powers to his own benefit? Starring the Astonishing X-Men and the New Avengers! You know how sometimes you hear the phrase: and nothing will ever be the same again? Well, this time believe it, buster! Nothing will ever be the same again!",224 pages,3.97,English,Paperback
UK edition,17418,The Crimson Campaign,Brian  McClellan,17608111,"Tamas's invasion of Kez ends in disaster when a Kez counter-offensive leaves him cut off behind enemy lines with only a fraction of his army, no supplies, and no hope of reinforcements. Drastically outnumbered and pursued by the enemy's best, he must lead his men on a reckless march through northern Kez to safety, and back over the mountains so that he can defend his country from an angry god. In Adro, Inspector Adamat only wants to rescue his wife. To do so he must track down and confront the evil Lord Vetas. He has questions for Vetas concerning his enigmatic master, but the answers might come too quickly. With Tamas and his powder cabal presumed dead, Taniel Two-shot finds himself alongside the god-chef Mihali as the last line of defence against Kresimir's advancing army. Tamas's generals bicker among themselves, the brigades lose ground every day beneath the Kez onslaught, and Kresimir wants the head of the man who shot him in the eye.",596 pages,4.36,English,Hardcover
Omnibus,20285,Crown Duel ,Sherwood Smith,21060,"Young Countess Meliara swears to her dying father that she and her brother will defend their people from the growing greed of the king. That promise leads them into a war for which they are ill-prepared, which threatens the very people they are trying to protect. But war is simple compared to what follows, in peacetime. Meliara is summoned to live at the royal palace, where friends and enemies look alike, and intrigue fills the dance halls and the drawing rooms. If she is to survive, Meliara must learn a whole new way of fighting-with wits and words and secret alliances.",471 pages,4.19,English,Paperback
Reprint Edition,14774,The Poetry of Pablo Neruda,Pablo Neruda,5936,"""In his work a continent awakens to consciousness."" So wrote the Swedish Academy in awarding the Nobel Prize to Pablo Neruda, the author of more than thirty-five books of poetry and one of Latin America's most revered wri",1040 pages,4.44,English,Paperback
First Edition,17319,"
                  9385152149
                      ",Amish Tripathi,24709327,3400 BCE. INDIA,354 pages,3.69,"
                  ",Paperback
30th Anniversary Edition,16450,On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser,53343," has been praised for its sound advice, its clarity and the warmth of its style. It is a book for everybody who wants to learn how to write or who needs to do some writing to get through the day, as almost everybody does in the age of e-mail and the Internet. Whether you want to write about people or places, science and technology, business, sports, the arts or about yourself in the increasingly popular memoir genre, ",336 pages,4.24,English,Paperback
Second Edition,15765,Utilitarianism,John Stuart Mill,584637, includes the text of his 1868 speech to the British House of Commons defending the use of capital punishment in cases of aggravated murder. The speech is significant both because its topic remains timely and because its arguments illustrate the applicability of the principle of utility to questions of large-scale s,71 pages,3.65,English,Paperback
Agatha Christie Signature Edition,21835,The Big Four,Agatha Christie,16316,"Who was he? Was he suffering from shock or just exhaustion? Above all, what was the significance of the figure 4, scribbled over and over again on a sheet of paper? Poirot finds himself plunged into a world",272 pages,3.6,English,Paperback
US edition,24056,Sin Undone,Larissa Ione,7715664,"As the only female Seminus demon ever born, master assassin Sinead Donnelly is used to being treated like an outcast. She spent decades enslaved, and now vows she'll die before she'll relinquish her freedom again. Then Sin's innate ability to kill her enemies goes awry: She creates a lethal new werewolf virus that sparks a firestorm of panic and violence",400 pages,4.35,English,Mass Market Paperback
25th Anniversary Edition,13854,The Tao of Physics: An Exploration of the Parallels Between Modern Physics and Eastern Mysticism,Fritjof Capra,10238," includes a new preface and afterword in which the author reviews the developments of the twenty-five years since the book's first publication, discusses criticisms the book has received, and examines future possibilities for a new sc",366 pages,3.96,English,Paperback
