title,GoodReadAverageRating,description,bookformat,id,numberofpages,NumberofRatings,author,bookEdition,Language
13 Little Blue Envelopes,3.65,Maureen knew from an early age she wanted to be a writer. She went to high school at an all-girls' Catholic school and graduated from University of Delaware with a degree in writing. She now lives and writes in New York City.,Paperback,17020,322 pages,71104,Maureen Johnson,Extras Inside,English
Warbreaker,4.22," and following up with his blockbuster Mistborn trilogy, Brandon Sanderson proves again that he is today's leading master of what Tolkien called ""secondary creation,"" the invention of whole worlds, complete with magics and myths all their own.",ebook,1268479,688 pages,66459,Brandon Sanderson,Draft version,"
                "
Cold Days,4.51,"After being murdered by a mystery assailant, navigating his way through the realm between life and death, and being brought back to the mortal world, Harry realizes that maybe death wasn’t all that bad. Because he is no longer Harry Dresden, Chicago’s only professional wizard.",Hardcover,12216302,515 pages,66541,Jim Butcher,1st Edition,English
Cross My Heart and Hope to Spy,4.13,". At first, giddy anticipation is in the air. Gallagher Academy, Cammie's elite spy school, is hosting a visit from a covert training center for boys. Soon after the boys' arrival, though, everything goes dangerously awry when a s",Hardcover,568645,236 pages,73733,Ally Carter,First Edition,English
Anna Dressed in Blood,3.96,"So did his father before him, until he was gruesomely murdered by a ghost he sought to kill. Now, armed with his father's mysterious and deadly athame, Cas travels the country with his kitchen-witch mother and their spirit-sniffing cat. They follow legends and local lore, destroy the murderous dead, and keep p",Hardcover,9378297,320 pages,78772,Kendare Blake,First Edition,English
"Temple of the Winds (Sword of Truth, #4)",4.03,"The dangerous, fanatical Imperi",Audio CD,253058,822 pages,63124,Terry Goodkind,Unabridged,English
The Magician: The Secrets of The Immortal Nicholas Flamel,4.09,"After fleeing Ojai, Nicholas, Sophie, Josh, and Scatty emerge in Paris, the City of Lights. Home for Nicholas Flamel. Only this homecoming is anything but sweet. Perenelle is still locked up back in Alcatraz and Paris is teeming with enemies. Niccolo Machiavelli, immortal author and celebrated art collector, is working for Dee. He’s after them, and time is running out for Nicholas and Perenelle. For every day spent without the Book of Abraham the Mage, they age one year-their magic becoming weaker and their bodies more frail. For Flamel, the Prophecy is becoming more and more clear.",Hardcover,2402971,464 pages,72517,Michael Scott,First Edition,English
Memnoch The Devil,3.74,"In the fifth Vampire Chronicle, Lestat is searching for Dora, the beautiful and charismatic mortal daughter of a drug lord. Dora has moved Lestat like no other mortal ever has, and he cannot get her out of his visions. At the same time, he is increasingly aware that the Devil knows who he is and wants something from him. While torn betwen his vampire world and his passion for Dora, Lestat is sucked in by Memnoch, who claims to be the Devil himself. Memnoch presents Lestat with unimagined opportunities: to witness creation, to visit purgatory, to be treated like a prophet. Lestat faces a choice between the Devil or God. Whom does he believe in? Who does he serve? What are the element of religious belief? Lestat finds himself caught in a whirlpool of the ultimate choice",Hardcover,31338,354 pages,67717,Anne Rice,Limited Edition,English
Twelve Sharp,4.14, ,Hardcover,3507,310 pages,79746,Janet Evanovich,1st Edition,English
Wool,4.12,Or you'll get what you wish for.,Kindle Edition,12287209,58 pages,60460,Hugh Howey,1st Edition,"
                  "
