Language,title,bookformat,id,author,GoodReadAverageRating,NumberofRatings,bookEdition,description,numberofpages
English,Das Drama des begabten Kindes und die Suche nach dem wahren Selbst: eine Um- und Fortschreibung,Paperback,4887,Alice  Miller,4.09,10926,3rd edition,"Never allowed to express their true feelings, and having lost touch with their true selves, they act out their repressed feelings with episodes of depression and compulsive behav",144 pages
"
                  ","
                  144240339X
                      ",Hardcover,8288246,Holly Black,3.98,17802,First Edition,"That was how Lila, the girl he love",327 pages
English,The Midwich Cuckoos,Mass Market Paperback,161846,John Wyndham,3.92,13055,#299K,"John Wyndham Parkes Lucas Beynon Harris was the son of a barrister. After trying a number of careers, including farming, law, commercial art and advertising, he started writing short stories in 1925. After serving in the civil Service and the Army during the war, he went back to writing. Adopting the name John Wyndham, he started writing a form of science fiction that he called 'logical fantasy'.",220 pages
Spanish,La vida del Lazarillo de Tormes y sus fortunas y adversidades ,Hardcover,61794,Anonymous,3.49,12589,Clásicos Universales,"Así, garrotazo a garrotazo, la simpleza y credulidad del Lázaro de las primeras páginas ceden paso a la sagacidad y a la astucia propias del más clásico y típic",96 pages
English,"Fables, Volume 7: Arabian Nights (and Days)",Paperback,21327,Bill Willingham,4.1,14163,Trade,"With the identity of the Adversary finally revealed to the citizens of Fabletown, it's time to begin making preparations in earnest for the defense of their stronghold in the mundane world - and that means forging new alliances with whoever remains unconquered by the Adversary's legions. But the arrival in Fabletown of a delegation from the Arabian Homelands shows just how tricky this kind of coalition-building can be - especially when one side is concealing Weapons of Magical Destruction!",144 pages
English,13 Hours: The Inside Account of What Really Happened In Benghazi,Hardcover,22608582,Mitchell Zuckoff,4.26,12605,Large Print,"13 HOURS presents, for the first time ever, the true account of the events of September 11, 2012, when terrorists attacked the US State Department Special Mission Compound and a nearby CIA station called the Annex in Benghazi, Libya. A team of six American security operators fought to repel the attackers and protect the Americans stationed there. Those men went beyond the call of duty, performing extraordinary acts of courage and heroism, to avert tragedy on a much larger scale. This is their personal account, never before told, of what happened during the thirteen hours of that now-infamous attack.",432 pages
                                  ,B0087G3U92,Kindle Edition,15059301,Erica Stevens,4.06,15774,1st edition,"Captured, taken from her beloved family and woods, Aria’s biggest fear is not the imminent death facing her, but that she will be chosen as a blood slave for a member of the ruling vampire race. No matter what becomes of her though, Aria knows that she must keep her identity hidden from the monsters imprisoning her. She has already been branded a member of the rebellion, but the vampires do not know the true depth of her involvement with it, and they must never know.",168 pages
English,Breathe,Hardcover,11544466,Sarah Crossan,3.69,14868,First Edition,"Ever since the Switch, when the oxygen levels plummeted and most of humanity di",373 pages
English,Slammerkin,Paperback,44543,Emma Donoghue,3.69,12553,First Edition,"Mary Saunders, a lower-class London schoolgirl, was born into rough cloth but hungered for lace and the trappings of a higher station than her family would ever know. In 18th-century England, Mary's shrewd instincts will get her only so far, and she despairs of the plans made for her to carve out a trade as a seamstress or a maid. Unwilling to bend to such a destiny, Mary strikes out on a painful, fateful journey all her own. Inspired by the obscure historical figure Mary Saunders, Slammerkin is a provocative, graphic tale and a rich feast of an historical novel. Author Emma Donoghue probes the gap between a young girl's quest for freedom and a better life and the shackles that society imposes on her. ""Never give up your liberty.""",410 pages
                                  ,Legion: Skin Deep,Leather Bound,20886354,Brandon Sanderson,4.11,11378,Signed Limited Edition,"Stephen Leeds, AKA “Legion,” is a man whose unique mental condition allows him to generate a multitude of personae: hallucinatory entities with a wide variety of personal characteristics and a vast array of highly specialized skills. As the new story begins, Leeds and his “aspects” are hired by I3 (Innovative Information Incorporated) to recover a corpse stolen from the local morgue. But there’s a catch. The corpse is that of a pioneer in the field of experimental biotechnology, a man whose work concerned the use of the human body as a massive storage device. He may have embedded something in the cells of his now dead body. And that something might be dangerous…",208 pages
English,Retribution,Hardcover,9065265,Sherrilyn Kenyon,4.12,18094,1st ,"A hired gunslinger, William Jessup Brady lived his life with one foot in the grave. He believed that every life had a price. Until the day when he finally found a reason to live. In one single act of brutal betrayal, he lost everything, including his life. Brought back by a Greek goddess to be one of her Dark-Hunters, he gave his immortal soul for vengeance",369 pages
                                  ,B008NYB63A,Kindle Edition,15768536,Christine Zolendz,4.03,20616,2nd Edition,"I'm finally home after struggling through my brother's illness and death. But, home is definitely a bit different. My best friend (the only person alive now that knows my secret) has a new boyfriend; and he has a friend. Shane Maxton: bad boy, tattooed rock god, eye candy extraordinaire. He is also New York City's most arrogant, self-serving, son of a, well, a definite one-night stand kind of a guy.",317 pages
English,Aloha from Hell,Hardcover,10439703,Richard Kadrey,4.01,12904,1st Edition,", the ruthless avenger, a.k.a. Stark, finds himself trapped in the middle of a war between Heaven and Hell. With God on vacation, the Devil nosing around in Paradise, and an insane serial killer doing ser",438 pages
English,The Lord of the Rings Sketchbook,Hardcover,25790,Alan Lee,4.26,9193,1st edition, Alan Lee reveals in pictures and in words how he created the beautiful watercolor paintings for the special centenary edition of ,192 pages
English,Y: The Last Man - The Deluxe Edition Book One,Hardcover,3710603,Brian K. Vaughan,4.36,11399,Deluxe Edition,"Written by Brian K. Vaughan (LOST, PRIDE OF BAGHDAD, EX MACHINA) and with ar",256 pages
English,The Vampire Chronicles,Audio Cassette,43780,Anne Rice,4.26,11286,Abridged,"Book 1, ",9 pages
English,Babylon's Ashes,Hardcover,25877663,James S.A. Corey,4.18,14236,UK,James Holden and his crew know the strengt,538 pages
English,Angels in America:  A Gay Fantasia on National Themes,Paperback,72003,Tony Kushner,4.29,11477,Complete Edition; Movie Tie-In Edition,"In two full-length plays--Millennium Approaches and Perestroika--Kushner tells the story of a handful of people trying to make sense of the world. Prior is a man living with AIDS whose lover Louis has left him and become involved with Joe, an ex-Mormon and political conservative whose wife, Harper, is slowly having a nervous breakdown. These stories are contrasted with that of Roy Cohn (a fictional re-creation of the infamous American conservative ideologue who died of AIDS in 1986) and his attempts to remain in the closet while trying to find some sort of personal salvation in his beliefs.",304 pages
English,Going Rogue: An American Life,Hardcover,6922622,Sarah Palin,3.28,10715,1st Edition,"bestselling memoir from Sarah Palin, one of America’s most beloved and controversial political figures. Now with new material, ",413 pages
